,t_stat,p_value_tstat,F_stat,p_value_fstat,mean_FG_sc,mean_RSF_sc,max_FG_sc,max_RSF_sc,SD_FG_Sc,SD_RSF_Sc,samples,seed
1,1.484889612,0.19770216,4.458151544,0.056365494,0.257561268,0.220113067,0.335156353,0.253594503,0.036343193,0.021592248,200,61413
2,1.483802502,0.197978189,1.129378864,0.474841055,0.257330735,0.231010714,0.283790461,0.249376593,0.022963062,0.012994719,200,61413
3,2.506388492,0.054066099,3.765255943,0.078154148,0.247661233,0.217850754,0.287176147,0.241091488,0.023821943,0.009805444,200,61413
4,2.412977616,0.0606407,3.738134538,0.079229932,0.247619278,0.223304588,0.280283652,0.234055169,0.022037531,0.012288145,200,61413
5,2.43749276,0.058835064,4.487291268,0.055644329,0.253225261,0.207409159,0.301414054,0.226645276,0.03021307,0.011988588,200,61413
6,1.634737033,0.16303184,2.412768407,0.171539916,0.267730939,0.222947354,0.308024093,0.241925582,0.024359153,0.014807732,200,61413
7,1.305758714,0.248481508,1.851592792,0.257497604,0.256666104,0.223216308,0.301239711,0.235237225,0.024025851,0.01019631,200,61413
8,6.89523333,0.000982544,13.4294431,0.005163876,0.263488076,0.229102519,0.306127885,0.246879085,0.026567277,0.009301965,200,61413
9,3.32143105,0.020975277,1.860950214,0.255636611,0.225194653,0.192519918,0.261927136,0.206349163,0.023929964,0.009804515,200,61413
10,1.732808028,0.143670523,1.777965169,0.272785512,0.240510681,0.210995445,0.314583311,0.243346592,0.030648471,0.014788858,200,61413
11,1.571416952,0.176888264,1.447003875,0.358303953,0.248741205,0.218976145,0.303642837,0.247121292,0.028340305,0.01095517,200,61413
12,0.650997801,0.543776169,1.97512312,0.234305224,0.268753007,0.228096751,0.332711742,0.237213428,0.03164208,0.006663315,200,61413
13,1.438091951,0.20992545,0.83658445,0.622501308,0.232391754,0.210456431,0.291807492,0.247629108,0.03489368,0.017039323,200,61413
14,2.38571261,0.062719668,4.174708847,0.064109595,0.245891189,0.219903532,0.30828452,0.23833223,0.02906064,0.011613831,200,61413
15,0.261280682,0.804296963,0.797412015,0.645444711,0.241083379,0.215541292,0.28011407,0.252155664,0.019830197,0.013716889,200,61413
16,0.244793447,0.816345331,2.863263126,0.128577588,0.2356261,0.217566354,0.28609708,0.228965632,0.02354925,0.007337787,200,61413
17,0.963429186,0.379580145,2.715584971,0.140853083,0.244552726,0.218807805,0.271497029,0.243374443,0.016211736,0.012145103,200,61413
18,1.380720804,0.225894067,1.599766035,0.315061079,0.254269744,0.22315703,0.290985395,0.248065652,0.0209885,0.010080046,200,61413
19,-1.266664747,0.261073464,0.383098622,0.907739066,0.211320337,0.205348607,0.238213003,0.229720431,0.016557093,0.012563578,200,61413
20,1.952336983,0.10834549,4.038225982,0.06837132,0.252417573,0.206581573,0.296078657,0.228288707,0.031096592,0.015997326,200,61413
21,0.876562946,0.420835757,1.631274059,0.306992901,0.241243701,0.203628026,0.276989899,0.215601696,0.025968261,0.012116948,200,61413
22,1.416499463,0.215805639,0.947543158,0.561556797,0.239787875,0.223888787,0.299648813,0.242601984,0.029727981,0.010541392,200,61413
23,0.633941568,0.553983134,0.626236727,0.752972527,0.245809598,0.219446856,0.315818099,0.248551339,0.041855837,0.018282765,200,61413
24,0.814436769,0.452424291,1.348254717,0.390325495,0.248713573,0.224088682,0.291138381,0.250160755,0.022233195,0.010361179,200,61413
25,0.429720598,0.685287924,0.763555096,0.665837544,0.245061329,0.228310264,0.349105359,0.268771889,0.044711195,0.020572206,200,61413
26,1.149523003,0.302337975,0.933619222,0.5688686,0.241851149,0.226455022,0.284521833,0.268146281,0.028590866,0.020463245,200,61413
27,3.325292402,0.020886558,2.848152812,0.129764618,0.269960458,0.234637188,0.310259007,0.261182278,0.028208496,0.015361554,200,61413
28,-1.505179677,0.192617901,0.667672021,0.726065642,0.239616398,0.225959763,0.274960231,0.235215034,0.020363151,0.006130893,200,61413
29,1.345852022,0.236151442,2.2658972,0.189749894,0.251322679,0.216665715,0.313688356,0.251089118,0.033852309,0.019034537,200,61413
30,-0.483200256,0.64936928,1.134663567,0.472557003,0.230593414,0.225212075,0.293537422,0.236867721,0.029442066,0.006987688,200,61413
31,4.028283751,0.010038208,2.907116023,0.125215852,0.251357859,0.215127156,0.32076693,0.249504527,0.036657663,0.017137397,200,61413
32,1.023356529,0.353075073,0.614239123,0.760828497,0.244229263,0.227048099,0.272840424,0.236647134,0.022929207,0.006162366,200,61413
33,1.46876535,0.201834547,0.846445191,0.616840224,0.220669892,0.197896378,0.247071315,0.211684621,0.014510528,0.009070604,200,61413
34,0.821996971,0.448487179,1.829579839,0.261946881,0.274719773,0.236724694,0.30738109,0.246675695,0.023744335,0.006646546,200,61413
35,2.793106287,0.038304074,2.237008906,0.193636627,0.251206713,0.219593272,0.294871784,0.233368742,0.024257566,0.006847599,200,61413
36,1.93408761,0.110907796,1.295842169,0.408775368,0.263720784,0.226504878,0.305062802,0.250505751,0.018878249,0.00944913,200,61413
