,t_stat,p_value_tstat,F_stat,p_value_fstat,mean_FG_sc,mean_RSF_sc,max_FG_sc,max_RSF_sc,SD_FG_Sc,SD_RSF_Sc,samples,seed
1,-1.906771268,0.114861025,0.815178831,0.634949778,0.188868325,0.219853078,0.264441474,0.230822767,0.032872912,0.009418303,200,61413
2,-1.719327575,0.146188706,0.877433425,0.59935704,0.176200776,0.218882903,0.241779216,0.239455493,0.039319769,0.012546319,200,61413
3,0.417451533,0.693667815,1.031977124,0.519288884,0.186401555,0.223046942,0.231933285,0.269494336,0.029348312,0.016526472,200,61413
4,-1.958404524,0.107507249,1.526422877,0.334933118,0.165892276,0.220942614,0.225273129,0.249039846,0.037273079,0.015661251,200,61413
5,-1.883471573,0.118347892,2.401987028,0.172793931,0.178571418,0.224025622,0.21924289,0.253606116,0.022630339,0.018906911,200,61413
6,-2.121323274,0.087358984,4.026716712,0.068748485,0.15546607,0.210136115,0.222516171,0.265206491,0.030565994,0.021723053,200,61413
7,-1.935198666,0.110750016,2.038736194,0.223443295,0.137195423,0.200490172,0.205498426,0.228986644,0.029126954,0.017410183,200,61413
8,-1.064501923,0.335784813,0.6097568,0.763769069,0.181464358,0.20667822,0.250965511,0.250840991,0.032460885,0.019033341,200,61413
9,-1.163656729,0.297068858,1.697710352,0.2908428,0.165979124,0.205041217,0.189673706,0.215704684,0.018474792,0.006496494,200,61413
10,-1.283492142,0.255583426,0.639293681,0.744452111,0.174391607,0.198584299,0.259291022,0.27234815,0.043405258,0.028317278,200,61413
11,-2.731079232,0.041227276,2.890526556,0.126473243,0.168959827,0.210038052,0.196037048,0.21800039,0.014281503,0.005237218,200,61413
12,-0.976000037,0.373888943,0.858595005,0.609929576,0.170750624,0.207717112,0.244117333,0.22197259,0.030389772,0.008956386,200,61413
13,0.13175091,0.900318765,0.932601002,0.569407102,0.190430944,0.224469762,0.22661184,0.243850309,0.028688514,0.011730471,200,61413
14,-2.028559361,0.098291535,0.859982179,0.609145136,0.159914581,0.207365046,0.210397304,0.265387774,0.021026894,0.026528343,200,61413
15,-1.866578488,0.120944027,1.710438711,0.287876304,0.16934369,0.204050317,0.197994073,0.23081365,0.023415954,0.010553329,200,61413
16,-2.845513403,0.036012705,8.481947213,0.01459683,0.160390603,0.221327843,0.186026296,0.241539148,0.017109454,0.009424779,200,61413
17,0.27975877,0.790866735,0.600030656,0.770158401,0.209362669,0.232483006,0.246304333,0.239168462,0.02863496,0.005779673,200,61413
18,-2.850295388,0.035811324,2.167688018,0.203412512,0.189052308,0.221669596,0.217812274,0.26488206,0.018995294,0.018157909,200,61413
19,-2.210926806,0.078013453,1.817475142,0.264436932,0.166204867,0.222248528,0.213575122,0.235640032,0.030992465,0.008208754,200,61413
20,-1.14645792,0.303491432,0.627959844,0.751846228,0.192836517,0.226202657,0.243541817,0.243694691,0.024805242,0.011481305,200,61413
21,-2.068805385,0.093381384,2.062036823,0.219633623,0.183478158,0.237987636,0.218144289,0.275945539,0.022830644,0.018134493,200,61413
22,-0.602423619,0.573167871,1.295515993,0.408893519,0.190642884,0.211681589,0.257687071,0.24003015,0.031612402,0.013014784,200,61413
23,-1.346210729,0.236043739,1.020893698,0.52463605,0.177628314,0.219463424,0.214087386,0.245277981,0.028774634,0.016494638,200,61413
24,-2.582040945,0.049309977,2.007252808,0.228732857,0.181030304,0.228689922,0.245292133,0.253261298,0.028438615,0.010552696,200,61413
25,0.563733261,0.597280395,0.36904578,0.915599734,0.209415175,0.21407139,0.235305715,0.23626565,0.019672465,0.009353633,200,61413
26,-1.072364421,0.332563736,1.921807617,0.243958896,0.158609583,0.210555616,0.207983674,0.220659756,0.026110754,0.007596459,200,61413
27,-1.166634695,0.295969038,2.219518024,0.196042358,0.171703144,0.217510993,0.191354229,0.234126027,0.017840631,0.007183566,200,61413
28,-2.096653568,0.090135247,3.405606593,0.09426094,0.171959384,0.221633259,0.217956659,0.266303649,0.029657477,0.02077488,200,61413
29,-2.398464077,0.061737917,1.182174903,0.452590613,0.184561417,0.222110192,0.240309166,0.243449101,0.032016007,0.011368161,200,61413
30,-2.860406312,0.035389636,3.616179894,0.084329368,0.181925302,0.215943832,0.235221958,0.256279438,0.033499045,0.018173032,200,61413
31,0.115841898,0.912286566,0.566998033,0.791910132,0.16401749,0.195760924,0.212846058,0.236921241,0.034027498,0.016353586,200,61413
32,-1.124118068,0.312015364,1.497847932,0.343111141,0.154070599,0.211605189,0.236653553,0.226555017,0.035528566,0.009208153,200,61413
33,-1.646024233,0.160677114,4.391646964,0.058060747,0.141743862,0.221026944,0.169314388,0.249445582,0.018855489,0.014486532,200,61413
34,-1.207844319,0.281116036,0.857728952,0.610419801,0.184672375,0.232867728,0.250314896,0.248461574,0.039836844,0.008061335,200,61413
35,-1.173987875,0.293268767,0.705869622,0.701678243,0.178976877,0.21393713,0.248561719,0.24991613,0.033868195,0.016575232,200,61413
36,-0.858969532,0.429604493,0.412691901,0.890497418,0.197442413,0.223785342,0.256630203,0.233743679,0.039473957,0.006072311,200,61413
37,-0.486179706,0.647398316,0.968728501,0.550617983,0.182310274,0.219971832,0.248714215,0.246337738,0.034388374,0.013196345,200,61413
38,0.027349461,0.979239029,0.308515596,0.946427066,0.22854834,0.236358479,0.302386834,0.283948669,0.042649288,0.021985247,200,61413
39,-0.724919071,0.50099376,0.487617876,0.843802397,0.233481144,0.222252754,0.336174155,0.254479701,0.057304859,0.024179503,200,61413
40,-2.889422013,0.03420986,3.160924004,0.107948776,0.184074369,0.225692769,0.224763224,0.252229276,0.022171736,0.012895132,200,61413
41,0.722770649,0.502203366,0.728763491,0.687299397,0.195901339,0.228411186,0.253923955,0.239256253,0.026834289,0.010411224,200,61413
42,-1.521058896,0.188727359,1.924467131,0.243464906,0.202258494,0.225983883,0.25205044,0.253624608,0.019666453,0.015063229,200,61413
43,-4.243509044,0.008142206,4.855252589,0.047546366,0.151928023,0.212384047,0.191453323,0.22387047,0.016678583,0.007749343,200,61413
44,-3.809550584,0.012505799,12.2583731,0.006370197,0.146195202,0.211803554,0.166812052,0.228516331,0.014978614,0.009618816,200,61413
45,-2.162357344,0.082939628,4.237862944,0.062261783,0.167366085,0.225317335,0.199834173,0.247529011,0.021898677,0.010692597,200,61413
