,t_stat,p_value_tstat,F_stat,p_value_fstat,mean_FG_sc,mean_RSF_sc,max_FG_sc,max_RSF_sc,SD_FG_Sc,SD_RSF_Sc,samples,seed
1,3.130827808,0.0259332,2.041344047,0.223012526,0.277089453,0.213635268,0.336589215,0.227247165,0.04565646,0.010509637,200,61413
2,3.457924235,0.018082661,3.971103283,0.070612217,0.256160485,0.232051,0.308581168,0.251571971,0.024503761,0.00960286,200,61413
3,4.179828481,0.008656388,1.451867154,0.356814183,0.233461022,0.211003459,0.285011548,0.23428025,0.022817262,0.011743721,200,61413
4,1.852137548,0.123209682,1.598411409,0.315414091,0.26363132,0.228622589,0.30497246,0.264652978,0.022656008,0.013588707,200,61413
5,1.082613905,0.328404373,2.612226628,0.150417018,0.29938957,0.231946931,0.334889849,0.254818937,0.02686209,0.013191075,200,61413
6,4.427775578,0.006842234,2.101716581,0.213344118,0.246676685,0.216609854,0.305463594,0.23334983,0.026771016,0.009468895,200,61413
7,2.723228559,0.041614531,4.462782525,0.05625002,0.28494432,0.231506882,0.33393899,0.261420713,0.027370658,0.011143966,200,61413
8,2.731029663,0.041229708,9.507774763,0.011327089,0.265896787,0.225098903,0.333086935,0.275877196,0.029706855,0.020902771,200,61413
9,5.538833091,0.002632454,6.725195284,0.024166465,0.274293745,0.225102906,0.323517647,0.269340668,0.030970781,0.017633465,200,61413
10,4.185201569,0.008611583,3.897362784,0.073193138,0.244662013,0.217341447,0.294436919,0.251270365,0.027547276,0.016758854,200,61413
11,2.543795913,0.051654533,1.627571632,0.307926947,0.267262275,0.234264595,0.327960974,0.255317425,0.029628335,0.01005194,200,61413
12,2.373863409,0.063647099,5.484150812,0.037094102,0.284920834,0.237665615,0.328520352,0.27194559,0.017703838,0.013691751,200,61413
13,3.095649836,0.026985933,6.170210921,0.029011616,0.285274253,0.216221097,0.327368371,0.239979212,0.036808493,0.01868104,200,61413
14,2.60816756,0.047775436,3.264330681,0.101850084,0.26880277,0.228736646,0.298574613,0.243555658,0.017775057,0.006836646,200,61413
15,2.565422937,0.050314095,2.979396983,0.119933152,0.292983671,0.233507161,0.338150297,0.247179733,0.025361205,0.008747854,200,61413
16,1.120875658,0.313269715,2.315627712,0.183302553,0.267781889,0.223572031,0.304798978,0.236837388,0.019689739,0.006210608,200,61413
17,4.923875144,0.00438277,4.514202313,0.054989657,0.284529368,0.230906946,0.328040486,0.23998427,0.018938516,0.006592437,200,61413
18,1.424316812,0.213658914,3.530906328,0.088168344,0.275895745,0.221728509,0.332426865,0.244394521,0.03519425,0.017964619,200,61413
19,2.812405989,0.037441938,2.474807501,0.164559161,0.25882419,0.225265358,0.30235528,0.246026338,0.023596206,0.008823522,200,61413
20,1.483321557,0.198100425,1.520101354,0.336720595,0.273954712,0.221336569,0.346736964,0.239830048,0.039305901,0.011449875,200,61413
21,3.973695384,0.010597068,4.338013705,0.059479909,0.297146649,0.238862074,0.368809361,0.295235403,0.042131811,0.028793005,200,61413
