,t_stat,p_value_tstat,F_stat,p_value_fstat,mean_FG_sc,mean_RSF_sc,max_FG_sc,max_RSF_sc,SD_FG_Sc,SD_RSF_Sc,samples,seed
1,0.458970419,0.665517524,2.898074115,0.125899041,0.237887342,0.21355795,0.268966365,0.234330103,0.019703734,0.010662085,200,61413
2,1.467652628,0.202122761,1.286856345,0.412045707,0.251305897,0.228699304,0.281743073,0.26022923,0.018799554,0.01258955,200,61413
3,0.407468295,0.700523346,5.432994604,0.037817496,0.254219037,0.222909776,0.288657921,0.241062022,0.018738021,0.013477305,200,61413
4,9.410238983,0.000228633,19.16635975,0.002247515,0.224931661,0.204663432,0.243255934,0.214400889,0.011596392,0.007968467,200,61413
5,6.025205379,0.001811812,11.40611532,0.007510358,0.231846713,0.209249828,0.257543696,0.223611364,0.014887072,0.007799882,200,61413
6,4.178493596,0.008667561,4.395683594,0.057955846,0.231917414,0.206300344,0.261143288,0.232086316,0.022449701,0.014863336,200,61413
7,5.27977098,0.00324556,8.892922954,0.013145946,0.249720089,0.219075678,0.293099959,0.234129416,0.028466007,0.01037389,200,61413
8,5.553350627,0.002602323,6.097871374,0.029740678,0.242767098,0.206287859,0.272954744,0.220433303,0.022531955,0.009125986,200,61413
9,2.303066368,0.069505931,1.721450708,0.285341756,0.221408752,0.190924876,0.280335949,0.219882987,0.028289445,0.018051151,200,61413
10,2.406670867,0.061114871,6.829812391,0.023381639,0.242045427,0.209882416,0.265712104,0.226570497,0.014989069,0.01156955,200,61413
11,1.942187069,0.10976292,3.771072627,0.077926062,0.229104106,0.211820601,0.245258672,0.221021719,0.012095419,0.007303754,200,61413
12,3.207170108,0.023803802,1.927039408,0.242988386,0.249733792,0.220682925,0.277700452,0.250451278,0.015422913,0.013892026,200,61413
13,0.773160851,0.474373305,2.3209214,0.182633818,0.249139567,0.2162674,0.285962504,0.229880555,0.026913814,0.009793036,200,61413
14,2.067516249,0.093534602,6.768918375,0.023834054,0.253284016,0.216193888,0.282729297,0.223745468,0.017933449,0.005336869,200,61413
15,1.009782173,0.358940574,2.518357206,0.159888084,0.258626275,0.22804968,0.283754932,0.249238729,0.014649221,0.009665315,200,61413
16,0.755667224,0.483906529,4.128091165,0.065522727,0.228246127,0.208468751,0.267637703,0.217065995,0.021604315,0.005673078,200,61413
17,2.989372785,0.030469315,3.860862786,0.074519161,0.261238273,0.225332146,0.295886786,0.234970587,0.020412205,0.006765229,200,61413
18,2.834960007,0.036461603,2.107732954,0.212411694,0.248666587,0.223472847,0.268294498,0.231106245,0.016579227,0.004490303,200,61413
19,2.816701009,0.037253018,5.205875869,0.041278188,0.237993009,0.199965443,0.252649107,0.219004321,0.015846472,0.008849784,200,61413
20,5.642793908,0.002425368,9.604983582,0.011072229,0.268997585,0.214471543,0.314822399,0.230882533,0.035200102,0.015248726,200,61413
21,0.65735828,0.540001698,1.635093929,0.306033086,0.242786677,0.214222042,0.282272178,0.225206909,0.024140484,0.01326968,200,61413
22,0.444624675,0.675176962,0.475033965,0.851868385,0.233477229,0.224046394,0.255322369,0.244795431,0.018891747,0.010354063,200,61413
23,1.909377278,0.114477674,1.203587926,0.443919268,0.235626183,0.203266838,0.28782501,0.217756665,0.029586356,0.010825253,200,61413
24,1.755916238,0.139455179,1.620050136,0.309835872,0.253100095,0.226141377,0.326205356,0.250753005,0.033697419,0.016018833,200,61413
25,2.01090184,0.100530537,2.403305961,0.172639855,0.250502537,0.214135718,0.274538452,0.257897053,0.024947919,0.016123321,200,61413
26,5.811279939,0.002128964,13.52053849,0.005083856,0.242652689,0.207094863,0.291793678,0.237864818,0.02813923,0.017038276,200,61413
27,1.79869095,0.131979823,4.720673001,0.050305493,0.286220471,0.238816391,0.332214757,0.278148442,0.028950793,0.019387071,200,61413
28,3.381891899,0.019633712,6.845707609,0.023265519,0.235110094,0.208456282,0.27393752,0.231362169,0.022271989,0.011372852,200,61413
29,4.597230446,0.005855026,9.16813013,0.012284846,0.279366964,0.215995021,0.321068118,0.230686808,0.02221677,0.009849531,200,61413
30,2.348057456,0.065718582,7.804156004,0.017524111,0.241808625,0.211863586,0.270948467,0.223695656,0.014195574,0.006656161,200,61413
31,0.372326151,0.724909856,1.315721939,0.401653028,0.222405595,0.199042215,0.247051125,0.239575792,0.017427256,0.018974627,200,61413
